GAMES,ROUNDS,NoHits4,NoHits14,NoHits24,NoHits34,NoHits44,NoHits54,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoHits15,NoHits25,NoHits35,NoHits45,NoHits55,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoHits13,NoHits23,NoHits33,NoHits43,NoHits53,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoHits12,NoHits22,NoHits32,NoHits42,NoHits52,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,81,0.013239931917521,-0.032974843264784,0.00809198781811064,0.00126843654364949,0.00628191070746117,0,-0.276177551766296,0.00620839610406593,-0.00950093198701182,-0.0161695305961155,-0.0288792587719276,-0.0220445927987299,0.0739594834164327,-0.00438733941219743,-0.00682189944773384,0.00888471095197711,0.0159563859374383,0,-0.245379156921635,-0.000941093949681061,-0.0025908217180072,-0.00696083976795757,-0.0101766335434841,-0.00641607904591526,0.0814089553422621,-0.0246474658918137,0.0350777046323373,0.0117761741854355,0,0,-0.534076949546357,0.0051927454862834,-0.0462394500277107,-0.0524193723347259,-0.0587985717805799,-0.0420145377697479,0.117863642761409,-0.104748071016927,0.0251210377396594,0.0591351126343993,0.0287456197195637,-0.025799485404286,-0.33817677706363,-0.00650736160824231,-0.00665203696131622,-0.0553828224621736,-0.0424830081655635,-0.0414453840342909
20,77,0.0433914311306857,-0.035479510037125,0.0158759660202773,0.00958668706332673,0.00429223120673202,0,-0.326626644435777,0.0123052439860683,-0.0130910951628723,-0.00496290510450906,-0.0466662389188208,-0.0369922047585173,0.0739594834164327,-0.00438733941219743,-0.00682189944773384,0.00888471095197711,0.0159563859374383,0,-0.245379156921635,-0.000941093949681061,-0.0025908217180072,-0.00696083976795757,-0.0101766335434841,-0.00641607904591526,0.335980453085102,-0.036076627663521,0.0866070035302759,0.0260024882120402,0.0317988967131651,-0.00237404263431249,-0.40600900239586,-0.00378048642392493,-0.0624227153159235,-0.0799727551831704,-0.0265438679171921,-0.0828878842989023,0.237057461965183,-0.167256323170611,0.132222444700447,0.0832204147420067,0.0201674888711801,-0.039397280414991,-0.552858236799662,0.0124573263893539,-0.0238389774226437,-0.0898565919860207,-0.0694207548743439,-0.0803201585019974
30,76,0.0632125251475546,-0.0286288604704606,0.0158759660202773,0.0138679337607649,0.00429223120673202,0,-0.35059166017262,0.0022578951942166,-0.0192633516944949,-0.00496290510450906,-0.0559541540749738,-0.0116780800157492,0.0739594834164327,-0.00438733941219743,-0.00682189944773384,0.00888471095197711,0.0159563859374383,0,-0.245379156921635,-0.000941093949681061,-0.0025908217180072,-0.00696083976795757,-0.0101766335434841,-0.00641607904591526,0.347921310582976,-0.0897814289351127,0.105603042573432,0.0349274750393492,0.0330607054337371,-0.00325581875786537,-0.429138038190875,-0.0291247807469729,-0.0453933812099347,-0.0632419911013044,-0.0467304264045043,-0.0942495139768514,0.352816546178099,-0.230024216385455,0.215378097487925,0.131951506231864,0.0348892436443242,-0.0670606766105726,-0.502646433540236,0.0343386674839062,-0.0239480730501149,-0.0935794451456075,-0.0965836626778585,-0.115113530559208
40,78,0.0632125251475546,-0.0286288604704606,0.0158759660202773,0.0138679337607649,0.00429223120673202,0,-0.35059166017262,0.0022578951942166,-0.0192633516944949,-0.00496290510450906,-0.0559541540749738,-0.0116780800157492,0.0739594834164327,-0.00438733941219743,-0.00682189944773384,0.00888471095197711,0.0159563859374383,0,-0.245379156921635,-0.000941093949681061,-0.0025908217180072,-0.00696083976795757,-0.0101766335434841,-0.00641607904591526,0.369304137470119,-0.147821742172336,0.124766694810996,0.0485805288125893,0.0330607054337371,-0.00325581875786537,-0.576713844927315,-0.0443164311326234,-0.0452211700763431,-0.120823959689543,-0.0982981618653082,-0.137147514438899,0.283078418458429,-0.262579868390921,0.295654828162304,0.159114607213618,0.0113461308690715,-0.101696230982316,-0.550203291662006,0.0641989887473087,-0.0596502044969429,-0.100101525325829,-0.17399051139262,-0.183069704358789
50,76,0.122766533006252,-0.0286288604704606,0.0158759660202773,0.0208663207223987,0.0138568360218937,0,-0.284052624405725,0.0114766651176147,-0.0127400821276778,-0.00803191951683494,-0.0573803035598964,-0.0116780800157492,0.12829047716565,-0.01341805588359,-0.00682189944773384,0.00888471095197711,0.0314472915481522,0,-0.28373279890239,0.0075481558502713,-0.0093936316745924,-0.00893686138034547,-0.0101766335434841,-0.00893394437368803,0.435959868779102,-0.161906102718079,0.168500695568878,0.0513465872977908,0.0409251726027977,-0.00222497500100935,-0.535444473035859,-0.022398336093806,-0.0466479877675995,-0.149651073111423,-0.117979725736149,-0.160500176154954,0.362489220731638,-0.303017932908089,0.382321663338804,0.160595869773403,-0.00141635259598095,-0.111622546086556,-0.653482880481825,0.0696547678490453,-0.0701792944851587,-0.183116114132426,-0.174669947729467,-0.239358472694843
60,75,0.131713087926271,-0.0404405492393564,0.0216680538803276,0.0238733321005996,0.0138568360218937,0,-0.351798769130695,0.00119492967358512,-0.00701859741730362,-0.0157097359774519,-0.0757974334095426,-0.0216547088282229,0.185352123108133,-0.0287059000262856,-0.00682189944773384,0.014336021864243,0.0450183123128798,0,-0.272286278353854,0.0075481558502713,-0.00907461694563072,-0.0174787386838608,-0.00649960884550357,-0.0133567005311655,0.376930799973178,-0.156783028121268,0.172981265705945,0.0567999998479837,0.019164676712851,-0.00222497500100935,-0.4831948444689,-0.0251285316217354,-0.0456404730086185,-0.162565749120447,-0.111320162842043,-0.152885364256171,0.316572697114801,-0.328134365500695,0.421810548784817,0.184556993553483,-0.00232671527134726,-0.113749674815783,-0.523710040962506,0.061464125978053,-0.105474815104616,-0.17101353315363,-0.243051043966995,-0.276706435416589
