GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,84,0.0329184938450178,-0.249378148541839,-0.00319569486685901,0.00200080255232814,-0.0105185008399051,-0.0331022650779399,-0.0231577992060997,0,0,0,0,0,0,0,0.0593952868530148,-0.350588717137411,0.00703699708448022,-0.0237992283549883,-0.0560194131204759,-0.0488589340271422,-0.0384842118091279,0.02014066095315,-0.357566511500566,-0.0334604949319202,-0.0596065507507008,-0.098851721077658,-0.0782136505578944,-0.0789461930038753
20,81,0.0403988864475127,-0.301976831228002,-0.0101852186381918,-0.00721404973175999,-0.0102775647422568,-0.0331022650779399,-0.0109339366652829,0.037301220011101,-0.226044526894884,-0.00431892325023888,-0.0046087969429261,-0.0178204529742828,-0.00623232996949452,0.00577323815584092,0.138331052892814,-0.312757915492589,0.00876118944567812,-0.0364072630474322,-0.0969678149577702,-0.0608090615273085,-0.0841360997885641,0.0564913704602441,-0.563081984531674,-0.0422212131032546,-0.128320868439694,-0.173168042793527,-0.174828624798898,-0.134413648944051
30,81,0.125341782160322,-0.347981485833747,-0.000233803283171346,-0.027825317831582,-0.0254629543923829,-0.0492283800248365,-0.0339636184311138,0.121145013093348,-0.0674888178715323,-0.00738680737336622,-0.000709019781595936,-0.0111911899651152,-0.00665762736246599,0.00434484283481833,0.107426974347973,-0.431698092093623,0.00603305850333547,-0.0687305139574263,-0.113679768270513,-0.144978750317765,-0.141080394854151,0.169557600218281,-0.568152206752299,-0.060963314045269,-0.140809755440786,-0.197395456537513,-0.161160999533334,-0.193364966361003
