GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NoHits5,NoOpen5,NoMisses5,NoHits3,NoOpen3,NoMisses3,NoHits2,NoOpen2,NoMisses2
110,90,7.12296060411843E-05,-0.0331201858215563,-0.031861708828082,0.00459430364855943,-0.00966126367273358,-0.0165464890809899,0.00237317825941259,-0.0961220494539262,-0.094420935113554,0.0314819800782371,-0.167455370250987,-0.174528870608983
120,73,-1.06956499760811E-05,-0.034748578662477,-0.0339640053096874,0.00472383026139025,-0.0101298069738589,-0.0178635256785171,0.00377507562482448,-0.104152049433921,-0.104687331693491,0.0342834247871548,-0.169750107326726,-0.183025241906114
130,84,-9.16371698387289E-05,-0.0366338418854434,-0.0363063250403306,0.00522318514749967,-0.00859568972685052,-0.0193438169091668,0.00597130309559642,-0.108249828825376,-0.111166769923775,0.0373468487640702,-0.175551563503442,-0.193297336702864
140,99,0.000453961287474508,-0.0393324882133736,-0.0403415045913653,0.00608721563270524,-0.0081707521043569,-0.0190978075260761,0.00732392525294486,-0.107434331217934,-0.118907525842211,0.0402427702145031,-0.181367519936602,-0.206228547157353
150,98,0.00135252888134416,-0.0417163194491519,-0.0427427207549928,0.00574937485464965,-0.00865077248466618,-0.0195874509682646,0.00767768081991801,-0.120510331236171,-0.130467551786709,0.0455744326990515,-0.180906850496009,-0.215949849720601
160,91,0.00136934358882926,-0.0425179888988538,-0.0428982478907993,0.00616206586768158,-0.00802034283288083,-0.0196308345499632,0.00822567803409347,-0.126818358006269,-0.13794372327172,0.0507329333157546,-0.180398263435506,-0.227094204329727
170,98,0.00139298734476714,-0.0434561832202982,-0.0443950941247563,0.00647520333102218,-0.00999780870617062,-0.0214312366358683,0.00983312174643377,-0.127187400091299,-0.14293918580863,0.0556720298222045,-0.18049942084964,-0.239623814694032
180,84,0.00143820774393781,-0.0461211941945824,-0.0468656685295858,0.00626179996611397,-0.0171476377514646,-0.028589861171185,0.0128581554197042,-0.131940663995937,-0.15310818742697,0.0592198252737068,-0.180754197828782,-0.246486130493331
190,96,0.00153093089749224,-0.0547193629512316,-0.0546706396971651,0.00691505598980015,-0.0170095197299673,-0.0292175765673305,0.0135907363534845,-0.134737597097467,-0.158764838179487,0.0639227980398968,-0.179588581257174,-0.254397246729085
200,93,0.00162774784143442,-0.0574002686094156,-0.0583318177326684,0.00783131008728464,-0.016574682325942,-0.0300153600610908,0.0144447233153776,-0.135853921252893,-0.165307583952753,0.0678283238840083,-0.186446244690526,-0.265955814054158
210,88,0.00189158113654263,-0.0567127027536203,-0.0585808907820151,0.00821149612862247,-0.0160571438279613,-0.0308947147033823,0.0164967015699303,-0.141859142020911,-0.175176033472192,0.0714443522273869,-0.184308474073802,-0.27410238359549
220,93,0.00192601876240273,-0.0563234144165323,-0.0594133117594046,0.00888045646525219,-0.0178601298642162,-0.0326347387715731,0.0177397673759922,-0.140970221587599,-0.178715371182103,0.0756318049679218,-0.188666171382237,-0.286372571763533
230,63,0.0021489252864865,-0.0559776698776869,-0.0587359696657725,0.00888045646525219,-0.0178601298642162,-0.0326347387715731,0.0183020516141261,-0.140534370724375,-0.179708002531157,0.0819088173866557,-0.192080097898838,-0.296038806502848
240,89,0.0026187929679221,-0.0552499872366237,-0.0587428828545667,0.00953513546901959,-0.0166831441471656,-0.0325564674964779,0.0204858865998003,-0.147415974204075,-0.197320763648465,0.0847579581846643,-0.187358161567277,-0.297954127118801
250,91,0.00260996601179428,-0.0568951509201676,-0.0616424084595163,0.00982630833535061,-0.0176584903240616,-0.0357302904907594,0.0241890025600661,-0.148621299771071,-0.204253916109346,0.0877194207358261,-0.187038126587575,-0.302511933249552
260,82,0.00361479425369306,-0.0577935089671457,-0.0647410362976845,0.0100587461394883,-0.0193537884334915,-0.0384928647241514,0.0256329801034595,-0.153320202775979,-0.213166419648406,0.091234327764481,-0.187263557045426,-0.309133460059966
270,83,0.003970695024771,-0.058478938368037,-0.0675707966544243,0.00991120006256884,-0.0204474496564478,-0.0404458985284777,0.0264485881063821,-0.161869707787304,-0.221990271466452,0.0955892167303889,-0.18154903485321,-0.318379802103651
280,96,0.00462683269360857,-0.0574460325193179,-0.0670621316670819,0.0106393660933796,-0.0200105416040638,-0.0406888124267464,0.027814765349342,-0.16799193500912,-0.227843809192778,0.100344955185804,-0.183115026299781,-0.325880694799149
290,80,0.00458619580415045,-0.0586513193955462,-0.0677830417535186,0.0106977718914485,-0.0201660589437721,-0.0415162930335191,0.0298538105064815,-0.169278999371574,-0.230798511602592,0.104840722587262,-0.183907876023738,-0.333532474362797
300,94,0.00481933258310469,-0.0592554107345267,-0.0697896384015677,0.0102594796046031,-0.0212981997239616,-0.0431840904920302,0.032454077439427,-0.1700842182738,-0.237569767572981,0.108776065522354,-0.180447674556772,-0.339559807249158
310,79,0.00489010673886036,-0.0612174981885205,-0.074136686486854,0.0105322768879534,-0.0224676108055672,-0.0455245490102552,0.0345815992182653,-0.170353422227424,-0.2438257079945,0.111894292881909,-0.185317623365654,-0.343519915174751
320,86,0.00519618989934419,-0.0609443040125942,-0.0735443211059278,0.0113255882996305,-0.0257959880855806,-0.0500058276403549,0.0364034490374873,-0.167573294619286,-0.25124676223793,0.11584324826416,-0.187744490375408,-0.348603910943241
330,97,0.00532222573963168,-0.0620373742204598,-0.0746705688006686,0.0117842441438974,-0.0269921273250563,-0.051584037241536,0.0394356415839503,-0.163296072148603,-0.255672643244039,0.120217189360968,-0.19403032204626,-0.355384782785311
340,97,0.00550953839651264,-0.0641604210494327,-0.0763810757268769,0.0120739061302829,-0.0271235608444589,-0.052723434192929,0.0404005817648952,-0.164957608048919,-0.262715852295675,0.126217852585195,-0.184260159744954,-0.361612458476575
350,73,0.00639217904144008,-0.0694690786955251,-0.0823553561310109,0.0130010955435005,-0.0276287003562916,-0.0541497672258294,0.0416310522982851,-0.168176759235943,-0.265805609860196,0.128647048834998,-0.187573586202636,-0.367602314922633
360,76,0.00711855337276289,-0.0699466449109687,-0.0857419499629351,0.0139929374443251,-0.02759506744895,-0.0538507097944221,0.043262638451226,-0.169815448509614,-0.270492006756176,0.131276199646545,-0.185005624652597,-0.372770699161021
370,92,0.00728604216050131,-0.0720857254468449,-0.0890888682610465,0.0139929374443251,-0.02759506744895,-0.0538507097944221,0.0452431078599938,-0.171732016328671,-0.273070319700562,0.136214254224949,-0.1820727729891,-0.379261927026736
380,85,0.00758947096235652,-0.0738777093988513,-0.0921029416212839,0.0148380149058358,-0.0295689324076477,-0.0556116637736589,0.0466512915705201,-0.172704633000124,-0.277144195324216,0.14112290323651,-0.175613628489227,-0.385194995147018
