GAMES,ROUNDS,NoHits14,NoHits24,NoHits34,NoHits44,NoHits54,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits15,NoHits25,NoHits35,NoHits45,NoHits55,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits13,NoHits23,NoHits33,NoHits43,NoHits53,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits12,NoHits22,NoHits32,NoHits42,NoHits52,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,91,-0.00961784920120582,0.000111403477134518,0.0150863742006218,0.0100372200810676,0,-0.0147898303856879,-0.0294928398251328,-0.0148637130775067,-0.0149007466794718,-0.0396517645287006,-0.00496253148352749,0,0.00998743791659533,0.00996256304322554,0,0,0,-0.0049875000260416,0.0149500014248435,0.00498750025788542,-0.037995800189553,0.0306979229060544,-0.00947668976228482,0.00518409981068824,-0.00492737649196708,-0.0339665074083203,-0.0635988552013653,-0.043381697616669,-0.0725924268098969,-0.0734726570185386,-0.022062930989787,0.0595174891084156,-0.00434678294809214,0.00524249749270739,-0.00480308990544598,-0.0635978518403075,-0.0724549620589491,-0.0678433066806662,-0.087798209716295,-0.0582219038663689
20,95,-0.00961784920120582,0.000111403477134518,0.0200859101318203,0.0100372200810676,0,-0.0147898303856879,-0.0294928398251328,-0.0148637130775067,-0.0099137095590594,-0.0396517645287006,-0.00496253148352749,0,0.00998743791659533,0.0149002848530286,0,0,0,-0.0049875000260416,0.0198753812498607,0.00498750025788542,-0.0768019080100604,0.0470525531764441,-0.00381475102412246,0.01028919896664,-0.00492737649196708,-0.0917456915334938,-0.124687762525971,-0.103150746230666,-0.128322722636679,-0.129012751378267,-0.0694831409522858,0.147410846713465,0.0376010630680938,0.0217602601112292,-0.00934284417202645,-0.112558804846516,-0.118211168614502,-0.183081946878092,-0.190649681717543,-0.177656249874039
30,92,-0.0530298518636122,0.00543457030147389,0.0400126344892318,0.0151576357441754,0,-0.0184261347507236,-0.0537602872630272,-0.0490909869313236,-0.0491514357553577,-0.0488260578765074,-0.00976434600908752,0.0151590327646467,0.0250976708097698,0.0298749180654181,-0.005,-0.0149256166523188,-0.024678448492908,-0.0243354205569924,-0.0299694045434037,-0.0297018208534591,-0.143899113073805,0.0536910593144658,-0.00714108663913921,0.0158999765864002,-0.00991505807566043,-0.159214550259754,-0.16301562864855,-0.170471730705985,-0.203408281208862,-0.193589133326232,-0.103829820164002,0.227785525548311,0.0283323491732092,0.022542259564239,-0.00934284417202645,-0.136094312605298,-0.150400890997718,-0.205074018632082,-0.203816755616079,-0.212196736407515
40,93,-0.0477747714071718,0.010542531890044,0.0448555036507935,0.0151576357441754,0,-0.0184587315548704,-0.038534033897242,-0.0487394067417988,-0.0537713337776946,-0.0585697891929262,-0.00976434600908752,0.0151590327646467,0.0250976708097698,0.0348610693570605,-0.005,-0.0149256166523188,-0.024678448492908,-0.0193617344360517,-0.0299694045434037,-0.0297018208534591,-0.151756770165372,0.0801460861155618,0.00410980090932674,0.0266962301918246,-0.0148902706335387,-0.157592620243602,-0.155433429797296,-0.190950384600395,-0.203408281208862,-0.176996392150966,-0.212605486844723,0.31020312509469,0.0525665722124824,0.046170995618229,-0.0186971564755831,-0.236082263046876,-0.219701971588733,-0.362911331059979,-0.257899031132091,-0.294899252064213
50,86,-0.0663196037837386,0.0158616461012346,0.0448555036507935,0.0151576357441754,0.00515854071532961,-0.0229341157618224,-0.0532083342039744,-0.0826318224655152,-0.0678641103419333,-0.0728184885898074,-0.00976434600908752,0.0151590327646467,0.0301194013206224,0.0348610693570605,-0.005,-0.0149256166523188,-0.024678448492908,-0.0143886283439001,-0.0249573156344093,-0.0346778394381315,-0.177271596601577,0.106266520658845,-0.00375207126555361,0.0321484723522791,-0.0248034146607678,-0.163785926454833,-0.17322870536338,-0.228698152879459,-0.21722760245082,-0.229036716966663,-0.270681556769291,0.393863512961009,0.0596594985270847,0.0574757753982758,-0.0179823669433403,-0.282077354515544,-0.266400880726425,-0.372449110805,-0.312553051125873,-0.315866115034871
60,92,-0.103241845202993,0.0262550574013961,0.060291335474084,0.0255224145466237,0.000326598715018156,-0.0422250648716543,-0.105884205531619,-0.103459053828691,-0.106171445197375,-0.141183273906693,-0.0147399353380123,0.0151938301337274,0.0301194013206224,0.0448354011949815,-0.005,-0.0248141374801408,-0.0296167555026959,-0.00930650114214432,-0.0299203818377894,-0.0296907963387388,-0.20494136045518,0.134978150402129,-0.00126503496368903,0.037523280222034,-0.0280864836330698,-0.226023264908669,-0.226047859397891,-0.283626949745523,-0.289750823919737,-0.273003045499907,-0.293045971208221,0.450659584911752,0.0524243849552766,0.0747582545238084,-0.0179823669433403,-0.342199388634932,-0.313250194898722,-0.357006122649471,-0.302926129903271,-0.318312554348167
