GAMES,ROUNDS,HitSpacesInRow4,HitSpacesInRow14,HitSpacesInRow24,HitSpacesInRow34,HitSpacesInRow44,HitSpacesInRow54,AdjMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoDiagHitsWithAdjHit4,HitSpacesInRow5,HitSpacesInRow15,HitSpacesInRow25,HitSpacesInRow35,HitSpacesInRow45,HitSpacesInRow55,AdjMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoDiagHitsWithAdjHit5,HitSpacesInRow3,HitSpacesInRow13,HitSpacesInRow23,HitSpacesInRow33,HitSpacesInRow43,HitSpacesInRow53,AdjMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoDiagHitsWithAdjHit3,HitSpacesInRow2,HitSpacesInRow12,HitSpacesInRow22,HitSpacesInRow32,HitSpacesInRow42,HitSpacesInRow52,AdjMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52,NoDiagHitsWithAdjHit2
110,60,0.191920990273653,-0.211755813012705,0.00296658847804267,0.150726058977721,0.00856192867221299,-0.0124540769316447,-0.300312414875704,-0.0156137854927632,-0.00830049165251708,-0.0390842981134684,-0.0815092794117715,-0.0431383023184467,0.145608412091316,0.202920935937115,-0.153617539966222,0.0247792693724329,0.0118271990096215,0.0770670575538785,-0.000428658832676928,-0.343864959751434,0.000502020060386735,-0.01174157188011,-0.046667668682843,-0.0664787411379862,-0.0470650328183491,0.1136873052038,-0.0185031686477882,-0.299575812772711,0.127413251574317,0.100177288128803,-8.83885109391816E-06,-0.0530619974181664,-0.583749674776019,-0.0646294542510068,-0.074780562539402,-0.145030094191394,-0.180565706841849,-0.170085800859765,0.547519595259735,-0.122232988835627,-0.349196169247459,0.418308259380402,0.0680221120260586,0.0614887919327096,-0.145954791216163,-0.597311929196139,-0.0438731796732862,-0.169586898120536,-0.233384714419949,-0.36977634269952,-0.399050677166155,0.925584464032649
120,60,0.223268390889302,-0.214968569470299,0.00998808290914783,0.1523577505406,0.0122688207454808,-0.0124540769316447,-0.301701014580508,-0.00998723714946091,-0.00805079515237685,-0.0457126716083564,-0.0846356698005229,-0.0495813153971654,0.153923997494526,0.173905943344929,-0.177496831912305,0.0247792693724329,0.0105110244060695,0.0838551692570047,-0.00588047921546408,-0.410962515434701,-0.00222784198065009,-0.0146607965731957,-0.058531170008069,-0.0808891173032663,-0.0605710576174724,0.107954452059154,0.00772424694886809,-0.262329988448788,0.128584181429215,0.108268193056934,0.00543643146613545,-0.0644401306838264,-0.587816612259545,-0.0732130962766705,-0.0831381637718153,-0.146662292585529,-0.21244937726279,-0.216716965333779,0.590004672657557,-0.243236588651104,-0.322552499070564,0.383444029226509,0.0856487394821992,0.0394295462189666,-0.153478844269835,-0.634913955120323,-0.0619190812055647,-0.203251503929638,-0.208194570178113,-0.372950438515084,-0.445784921666477,0.965780745654138
130,60,0.120934133663762,-0.234163754404393,0.0133375406851106,0.146925218477833,0.00269559637381698,-0.0187180615261781,-0.388375718778007,-0.0102591000378533,-0.0183211836228913,-0.0498358795346671,-0.0990746599899436,-0.0676514174261419,0.156888937695714,0.219670677786484,-0.205279828650094,0.0307419449379975,0.030652756891638,0.0838551692570047,-0.00588047921546408,-0.412037403433624,-0.00516145695819003,-0.0215038267410196,-0.0531943994644078,-0.072305275168888,-0.076353644864743,0.139390757627196,0.0981499026327008,-0.264167027873925,0.168236910359039,0.10877351986809,0.0117333381657907,-0.0673570726972075,-0.563173305835041,-0.0638896148651344,-0.0756600253198708,-0.142192332372559,-0.207663186283538,-0.225188802280654,0.680874703607847,-0.0926816775614405,-0.297727440060046,0.414002912067041,0.0964603225512917,0.0469374631741833,-0.153478844269835,-0.519574169540121,-0.0544819465441145,-0.174087757895554,-0.227516723016686,-0.39174365514555,-0.430005948239898,1.08547185294691
140,62,0.117033780821951,-0.281692727140711,0.0272838762704564,0.152050035794505,0.00269559637381698,-0.0187180615261781,-0.422628664767044,-0.0161977596898556,-0.0322943183972782,-0.0582330384568793,-0.108438052729068,-0.0877945394946177,0.177834875040796,0.219670677786484,-0.205279828650094,0.0307419449379975,0.030652756891638,0.0838551692570047,-0.00588047921546408,-0.412037403433624,-0.00516145695819003,-0.0215038267410196,-0.0531943994644078,-0.072305275168888,-0.076353644864743,0.139390757627196,0.0344381791299385,-0.28411945116526,0.175104136042158,0.10877351986809,0.0117333381657907,-0.0781519013172442,-0.571078953029199,-0.0719816875913477,-0.0687606613438254,-0.156845993197403,-0.210766817602946,-0.243534668357584,0.678128553544185,-0.161433438782405,-0.419383086514304,0.430258088079,0.116520095537002,0.0464863980219613,-0.161007823897732,-0.628080867789275,-0.0671533951662956,-0.182162194665972,-0.260504273400602,-0.400436806365594,-0.449958831343056,1.08616004896376
150,58,0.107921043792515,-0.281692727140711,0.0294006504367401,0.152606181574321,-0.000930737339051551,-0.0187180615261781,-0.474917728245183,-0.0151497605853667,-0.0322943183972782,-0.0692497862821821,-0.122570039691357,-0.0854283427869163,0.181252608075084,0.243071490727619,-0.220130029104435,0.0359901203365806,0.0355210805281975,0.0869318057718317,-0.00588047921546408,-0.396570367207009,-0.010110188209486,-0.0215038267410196,-0.0580479252337332,-0.072305275168888,-0.076353644864743,0.157627625755257,0.00168301966462151,-0.264250060041081,0.187093065958614,0.124773607097765,0.00570440131609739,-0.0901584611938419,-0.452824905286416,-0.057698515871436,-0.0736638269975605,-0.180903875076879,-0.244709756263896,-0.240839487704267,0.729558774173264,-0.162007182053651,-0.436776326051891,0.459097189671281,0.129874231590033,0.0307033282998005,-0.164064500188304,-0.652227586307823,-0.0750058424430389,-0.192597826331509,-0.303874401215285,-0.401412976980508,-0.478084853006695,1.15552635262142
160,59,0.117302547782886,-0.316522438637566,0.0275926080123499,0.176374507715328,0.00424435593120728,-0.0271875030612033,-0.502390206927394,-0.0246356507867308,-0.0485289851524415,-0.0803033066058989,-0.133947709440849,-0.101756973214502,0.202085110467666,0.224499248719162,-0.25054603219304,0.0309083151103968,0.042784563370024,0.0869318057718317,-0.00588047921546408,-0.427497966514958,-0.00983187559817245,-0.0271308777596972,-0.0714343703761123,-0.0848782869006557,-0.0903194299011878,0.164624718437519,0.00151409895736959,-0.313855763915072,0.178172064014291,0.139186917898188,0.0112539527834687,-0.0953559676141536,-0.500357053014697,-0.0661772322774573,-0.0776517866786267,-0.20379710780335,-0.23771147827627,-0.252336457532484,0.735508488263361,-0.226267450237382,-0.386653065705805,0.482283826882251,0.13260424057782,0.0141365140638717,-0.173691425305556,-0.565169101028498,-0.0818300330849337,-0.168398828838365,-0.314469663693278,-0.444624170810688,-0.492801529689226,1.21519430857184
170,62,0.118880335699897,-0.316522438637566,0.0275926080123499,0.183680097938022,0.00424435593120728,-0.0310315439495675,-0.489557803427449,-0.0284343973440681,-0.0536454226248258,-0.0827756950118324,-0.141171996471268,-0.101756973214502,0.209798390390019,0.249961407088971,-0.25054603219304,0.0309083151103968,0.042784563370024,0.0930586014088725,-0.00588047921546408,-0.40304898031828,-0.00983187559817245,-0.0271308777596972,-0.0714343703761123,-0.0848782869006557,-0.0903194299011878,0.170502206921217,-0.00589782639312882,-0.341626969671994,0.206978640014758,0.142331160077598,-0.000115894384971072,-0.0953559676141536,-0.518287547655491,-0.0760530686813111,-0.0850163813603806,-0.212084685501226,-0.246937582161002,-0.270405481280669,0.749610787815759,-0.163709807845004,-0.415268842479781,0.477301161584119,0.140964103597846,0.038015928726718,-0.178115117180779,-0.64997080879037,-0.0908543689416295,-0.211215822504829,-0.342905183906142,-0.480235451782931,-0.49858555551017,1.2362879295716
180,58,0.118880335699897,-0.316522438637566,0.0275926080123499,0.183680097938022,0.00424435593120728,-0.0310315439495675,-0.489557803427449,-0.0284343973440681,-0.0536454226248258,-0.0827756950118324,-0.141171996471268,-0.101756973214502,0.209798390390019,0.21071634165079,-0.263485317322041,0.0294092912787007,0.0458382589610196,0.0851446066825007,-0.00588047921546408,-0.413387793796091,-0.00983187559817245,-0.0435392419198728,-0.0847185435558802,-0.114621117702752,-0.0919393067645884,0.167538261038178,-0.0511651811347312,-0.353507646264527,0.217587422862379,0.136960408412012,-0.00382958543445818,-0.0996439471268123,-0.585078204488246,-0.0860007642295931,-0.104723625561126,-0.194285963240401,-0.250425568133675,-0.273375566763795,0.763465715385275,-0.239059347428112,-0.429829285711628,0.481861734663896,0.150083112098653,0.0379354090523676,-0.189082486145961,-0.589715773570337,-0.089643593923104,-0.214318127108257,-0.347734902532312,-0.464276668412143,-0.482519951793127,1.25193206684523
190,59,0.142852609272891,-0.316495555098069,0.0311126829666064,0.189170073975532,0.00424435593120728,-0.0310315439495675,-0.471553400243973,-0.021729684512147,-0.0482233645381682,-0.0827756950118324,-0.141171996471268,-0.101756973214502,0.215206986868617,0.247664024517963,-0.267331451279236,0.0345340594894023,0.0508458565316594,0.0851446066825007,-0.00302061703836061,-0.39643173230582,-0.00477101604184838,-0.0435392419198728,-0.0847185435558802,-0.0979144789470387,-0.103122186621151,0.18540985852336,-0.018355422452508,-0.310729925154534,0.199453438527904,0.144272870175194,0.0124660298660695,-0.0996439471268123,-0.644221412029828,-0.0809609982055447,-0.100098147591925,-0.217616648764346,-0.266462145254272,-0.294939560612241,0.789135991209081,-0.237371013546682,-0.43845056282626,0.471747946669916,0.163742740332968,0.0378418823146543,-0.191020821469514,-0.603456696355627,-0.116887173924091,-0.186451484284966,-0.373030761217717,-0.49824112901998,-0.480226558883886,1.25442085119722
200,58,0.175221910807226,-0.314116764141805,0.0405847185707107,0.184598510180916,0.0103326516942686,-0.0310315439495675,-0.467715603881872,-0.021729684512147,-0.0558955083525857,-0.0781005214993341,-0.143753853922362,-0.0940892320951098,0.240888086816824,0.260780792272689,-0.298909115004706,0.0345340594894023,0.0575637864886374,0.0909641201118825,-0.00302061703836061,-0.40830451707604,-0.00878832063533361,-0.0512074818449198,-0.0919700257585403,-0.101646545440393,-0.108547910011958,0.197435626245031,0.0103241363861046,-0.320973270103739,0.220120609985694,0.15269356008091,0.0124660298660695,-0.105005839672813,-0.627133054621021,-0.0939828010798775,-0.089594873527953,-0.216577270050198,-0.285864333509132,-0.267661458491241,0.829023882845738,-0.146037821354216,-0.40187036982158,0.461330553545452,0.20968628591836,0.0382715038860025,-0.196106513003054,-0.494356839610524,-0.100177589671954,-0.222658512158443,-0.387561117718824,-0.48086685821151,-0.503072918271899,1.31595574916765
