GAMES,ROUNDS,NoHits14,NoHits24,NoHits34,NoHits44,NoHits54,NoMisses4,NoHits15,NoHits25,NoHits35,NoHits45,NoHits55,NoMisses5,NoHits13,NoHits23,NoHits33,NoHits43,NoHits53,NoMisses3,NoHits12,NoHits22,NoHits32,NoHits42,NoHits52,NoMisses2
110,76,-0.186184773686122,0.0454109302611962,0.146008088152286,0.0401960411072087,-0.00546339820954662,-0.145364674957158,-0.0758565713931089,0.0194817296596784,0.052517496612473,0.0895141867039852,0.0126871233362913,-0.12080580299417,-0.0867353016210261,0.373712130616234,0.197986165936797,0.0809989633640841,-0.000936669644248374,-0.488238662649651,-0.034430739588054,0.979349932151349,0.466385438671086,0.240413860894529,0.00588581035223648,-0.665772818895638
120,81,-0.191469774770544,0.0518175246510138,0.151935625549453,0.0401960411072087,-0.00546339820954662,-0.106689381654706,-0.0789782851612485,0.0194817296596784,0.052517496612473,0.109362483618674,0.0126871233362913,-0.079485561986002,-0.118779975097679,0.4349614563942,0.214475245546231,0.0845248095351133,0.00693437957071052,-0.202137964467616,-0.036074113872414,1.07742167892996,0.53807489893663,0.240117821282647,0.00486413786614784,-0.541377021989142
130,90,-0.191469774770544,0.0518175246510138,0.151935625549453,0.0401960411072087,-0.00546339820954662,-0.106689381654706,-0.0789782851612485,0.0194817296596784,0.052517496612473,0.109362483618674,0.0126871233362913,-0.079485561986002,-0.148416980763442,0.451351857029385,0.22222014209216,0.0845248095351133,0.0164520056458143,-0.242991402143557,-0.0603361378132158,1.16170541282492,0.637644626712114,0.264496004829133,-0.00931519751719929,-0.588666488315411
140,88,-0.191469774770544,0.0518175246510138,0.151935625549453,0.0401960411072087,-0.00546339820954662,-0.106689381654706,-0.0789782851612485,0.0194817296596784,0.052517496612473,0.120062815077402,0.0182393305880436,0.0502204869090485,-0.195114346342658,0.471078097389481,0.238295962077196,0.0949455956099076,0.0132254860975608,-0.417556869342038,-0.0681389301580317,1.15297890894219,0.62149060675385,0.291108373227571,-0.00359190607933656,-0.62063647168296
150,83,-0.191469774770544,0.0518175246510138,0.151935625549453,0.0401960411072087,-0.00546339820954662,-0.106689381654706,-0.0732974892484725,0.0194817296596784,0.0576471045481943,0.117295788390638,0.0182393305880436,0.0329289533170725,-0.183580418904776,0.49079442478023,0.259247973156242,0.116264737019126,0.0192158043590866,-0.366952248469031,-0.117434533170181,1.24992004196369,0.630888476564534,0.304772927235265,-0.000616274504665261,-0.598511219965047
160,88,-0.214077548628883,0.0518175246510138,0.157676557856399,0.0401960411072087,-0.00546339820954662,-0.213799701870478,-0.0732974892484725,0.0194817296596784,0.0576471045481943,0.112173047875461,0.0182393305880436,-0.0223122672224215,-0.207813576721061,0.539105390582416,0.270381345371829,0.114570839937193,0.0178214626864639,-0.408629003709929,-0.0866393164171788,1.26140296391069,0.702409985186292,0.343847034828503,-0.00566873375372323,-0.694190361871714
170,83,-0.214077548628883,0.0518175246510138,0.157676557856399,0.0401960411072087,-0.00546339820954662,-0.213799701870478,-0.0732974892484725,0.0194817296596784,0.0576471045481943,0.112173047875461,0.0182393305880436,-0.0223122672224215,-0.256673702217094,0.599446195166464,0.290903132650151,0.128896780999742,0.0225250334975093,-0.353764086379967,-0.0139828276688606,1.35400089305834,0.709338038867227,0.3906625811641,-0.00621093177146067,-0.584205693336989
180,82,-0.229254927472823,0.0487244977041302,0.179251818948922,0.0401960411072087,-0.00119622128697536,-0.196693923452454,-0.0732974892484725,0.0245694629146314,0.0524525283536213,0.126301197021331,0.0182393305880436,0.0251291555050655,-0.245985527341765,0.631382197001193,0.304502857832765,0.135478142067015,0.0192842780575461,-0.400912706607159,-0.0129257615353809,1.36780708988605,0.753767567744514,0.421418671050254,-0.011340203261078,-0.898385568880305
190,82,-0.229254927472823,0.0487244977041302,0.179251818948922,0.0401960411072087,-0.00119622128697536,-0.196693923452454,-0.0732974892484725,0.0245694629146314,0.0524525283536213,0.130490090378347,0.023514846848989,-0.0110899327420268,-0.268801357704192,0.67719956080884,0.31128780320884,0.143325163809822,0.0177039333967038,-0.404212709636867,-0.0418136497743003,1.44886848402093,0.823445208267012,0.458929127150287,-0.00622183865247561,-0.706168332676481
200,79,-0.229254927472823,0.0487244977041302,0.188313556175345,0.0401960411072087,-0.00119622128697536,-0.160529566595695,-0.0676005801415589,0.0245694629146314,0.0620987622321031,0.130157414146813,0.023514846848989,0.0284364183062465,-0.270707594753899,0.677169870723867,0.324878677715722,0.162793365389832,0.011360776446808,-0.466681827910545,0.00424437281646411,1.40980911610278,0.820113854199799,0.472287423693512,-0.0116027133171857,-0.726941768779856
210,89,-0.252624365519855,0.0557857236969594,0.20563804553054,0.0466415418314161,0.00514981403324163,-0.225052804476818,-0.0676005801415589,0.0245694629146314,0.0620987622321031,0.13427270268301,0.023514846848989,0.0612790268314013,-0.262727368818601,0.696356838674569,0.324878677715722,0.161558718954382,0.011360776446808,-0.430452447956279,-0.0780707354304044,1.41537694525131,0.85526533359322,0.498305829099283,0.00134300020409115,-0.595068138830274
220,86,-0.252624365519855,0.0557857236969594,0.20563804553054,0.0466415418314161,0.00514981403324163,-0.225052804476818,-0.0676005801415589,0.0245694629146314,0.0620987622321031,0.13234882943162,0.023514846848989,0.0276067180091219,-0.256169365064791,0.716163215367383,0.342022587429854,0.161558718954382,0.0182824434895429,-0.366786823548367,-0.0559091812596679,1.49600232952632,0.858198640999599,0.545192473560139,-0.00561188570024469,-0.582196831021037
230,78,-0.259187113071046,0.0557857236969594,0.225523252623257,0.0424919184718705,0.00514981403324163,-0.254735708829868,-0.0608368574661731,0.0242075487070233,0.0628904237926443,0.132441680407026,0.023514846848989,-0.0604517031447141,-0.259600293413555,0.726026494063818,0.352970288975447,0.155042537072661,0.0182824434895429,-0.493941314415428,-0.00538473676559793,1.42802791738436,0.869307805589766,0.550682992865261,0.00583519412830593,-0.88921200457052
240,83,-0.252890314623051,0.0581194205436776,0.231220149651208,0.0487409940059856,0.00514981403324163,-0.241688405245235,-0.0608368574661731,0.0242075487070233,0.0628904237926443,0.132441680407026,0.0290584199747283,-0.0383322075571569,-0.244100720220851,0.746101490990688,0.368047606543663,0.163769222456363,0.0170061131742751,-0.324396088135703,0.00354404988141329,1.51006855320359,0.913802441748176,0.582876058774213,0.0121558586375595,-0.493602247497768
250,87,-0.252890314623051,0.0581194205436776,0.231220149651208,0.0487409940059856,0.00514981403324163,-0.241688405245235,-0.0608368574661731,0.0242075487070233,0.0681163658294129,0.141906029685769,0.0290584199747283,0.038718935353974,-0.277247422649205,0.782202281005613,0.382583494379291,0.190057220076529,0.00731109012932396,-0.390486679435633,-0.0153593862302102,1.49381998408162,0.922602447655378,0.581770529582944,0.010718872870839,-0.826526940958873
260,82,-0.252890314623051,0.0581194205436776,0.241068249297743,0.057422570295381,0.00514981403324163,-0.103289311950814,-0.0608368574661731,0.0242075487070233,0.0681163658294129,0.146625828815483,0.0290584199747283,0.0114051204355444,-0.243454733801654,0.797769061799808,0.385153603379317,0.19564105179028,0.00546580465797259,-0.501645159639582,-0.0690747199692102,1.54715818568188,0.934099179313588,0.635505311810332,0.00563593432698331,-0.769665508027118
270,80,-0.252890314623051,0.0581194205436776,0.242834466551089,0.0587278595811218,0.00514981403324163,-0.172580884548107,-0.0608368574661731,0.0185617813481935,0.0731021878926829,0.155726989642503,0.0290584199747283,0.0225578726751162,-0.261155973999619,0.845594307813845,0.410237284296416,0.202868004377292,0.00546580465797259,-0.337057676453596,-0.0637656621588783,1.54647166440573,0.935153468095476,0.652167629782077,0.00538032515291715,-0.881885541336805
280,88,-0.260897777616991,0.0721481101846919,0.247483607686563,0.0587278595811218,0.00514981403324163,-0.146305302486239,-0.0660292367640243,0.0251663067221197,0.077295838995433,0.166257115980252,0.0290584199747283,-0.120545102254352,-0.244318292268641,0.841174614902347,0.426200535623999,0.212355883456803,0.0114658560681423,-0.363009543443783,-0.0479502040532918,1.57819546981759,0.923872831441435,0.675143354931411,0.00516765768783764,-0.788790063138515
290,84,-0.260897777616991,0.0721481101846919,0.247483607686563,0.0587278595811218,0.00514981403324163,-0.146305302486239,-0.0788295415586563,0.0317609613009861,0.0796173789216052,0.178507660057998,0.0355354022606048,-0.0280518903737887,-0.286354968739264,0.882616713413987,0.425922013773636,0.220156277089481,0.0196501575275167,-0.418638578449504,-0.0875011328512327,1.60397790774952,0.97156995461789,0.641346101814104,-0.00810280178946393,-0.694629061920597
300,81,-0.260897777616991,0.0721481101846919,0.249326954358703,0.0587278595811218,0.00514981403324163,-0.138949126991879,-0.0725169208811777,0.0317609613009861,0.0895001355242259,0.183109557724088,0.0404043831507901,-0.0207629241999683,-0.288189640254995,0.912294066787064,0.455111583563458,0.237234937563636,0.0345783544477362,-0.314282064223146,-0.0774409738602907,1.5463327127325,0.967615813522391,0.649943842166837,-0.00502801242322099,-0.890117290198575
