GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NoHits5,NoOpen5,NoMisses5,NoHits3,NoOpen3,NoMisses3,NoHits2,NoOpen2,NoMisses2
10,90,NoHits4,NoOpen4,NoMisses4,NoHits5,NoOpen5,NoMisses5,NoHits3,NoOpen3,NoMisses3,NoHits2,NoOpen2,NoMisses2
