GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NonHitSpaces14,NonHitSpaces24,NonHitSpaces34,NonHitSpaces44,NonHitSpaces54,NoHits5,NoOpen5,NoMisses5,NonHitSpaces15,NonHitSpaces25,NonHitSpaces35,NonHitSpaces45,NonHitSpaces55,NoHits3,NoOpen3,NoMisses3,NonHitSpaces13,NonHitSpaces23,NonHitSpaces33,NonHitSpaces43,NonHitSpaces53,NoHits2,NoOpen2,NoMisses2,NonHitSpaces12,NonHitSpaces22,NonHitSpaces32,NonHitSpaces42,NonHitSpaces52
130,93,0.00144034079808864,-0.0226778760117707,-0.0235409232326708,5.02042281687059E-05,0.000102894069781389,-0.000341221414917025,-0.000722699487359292,-0.000722991351607452,0.00760132153021375,0.000902471675266678,-0.00219014968993791,-2.19129045906365E-07,-0.000151647847907303,0.000298863323957645,2.20876716513103E-07,-9.85757841458485E-05,0.0165470067006724,-0.113750852357136,-0.129210822161751,-0.000372961322382791,-0.000712257862290165,-0.00213588034114016,-0.00217677456776563,-0.00244422660907013,0.0389769482894846,-0.18777544660721,-0.188064374313314,0.000109146182253848,-0.000742683458322861,-0.00148636085392879,-0.00211850807914743,-0.00406844202755349
140,83,0.00126182377070074,-0.0254172725087659,-0.0261137721095001,5.02042281687059E-05,0.000102894069781389,-0.000341221414917025,-0.000722699487359292,-0.000961148637868957,0.00760132153021375,0.000902471675266678,-0.00219014968993791,-2.19129045906365E-07,-0.000151647847907303,0.000298863323957645,2.20876716513103E-07,-9.85757841458485E-05,0.0178332727821004,-0.118141233666716,-0.134383773054342,-0.00050212187864457,-0.000636037914787017,-0.00216371728814573,-0.00233370819275611,-0.00252464401003233,0.0445622280298531,-0.182431060463534,-0.200164434437603,0.000162882858017245,-0.000841191652845451,-0.00168687916207239,-0.00276880312440885,-0.00454048966864323
150,88,0.00172836486656454,-0.0266083156995691,-0.0285859003636193,5.02042281687059E-05,0.000102894069781389,-0.000628119357431187,-0.000816775428241953,-0.00102006589312213,0.00809657972655333,0.000950866642102661,-0.00169405618093358,-2.19129045906365E-07,-0.000151647847907303,0.000348356493724676,4.99224345512009E-05,-9.85757841458485E-05,0.0187701779326751,-0.119620313634343,-0.14198799567321,-0.00050212187864457,-0.000719334293815974,-0.00224062796664963,-0.00258366453055627,-0.00299902180360539,0.0505584738103477,-0.186878680783339,-0.212108967926017,0.000195709189378456,-0.000918718171199565,-0.00165719175788489,-0.0027135562597786,-0.0047263815958745
160,87,0.0011355274224407,-0.033554093072265,-0.0344771226526507,0.000153334312314931,0.000102894069781389,-0.000574469075916338,-0.000856634876918112,-0.00130237640113761,0.00893099796820876,-0.000645328951354996,-0.00378310257544037,-5.0771352256325E-05,-0.000102331825486308,0.000298541066795635,-2.72958538399065E-07,-4.83441813453345E-05,0.0196274470669675,-0.118086925539701,-0.144983716022823,-0.000541595836272102,-0.000704781757105059,-0.00221048091539944,-0.00270922771529471,-0.00303873960959466,0.0550348373608476,-0.191256488952842,-0.224006122464578,0.00014984046582694,-0.000948736314700377,-0.00178497887076497,-0.00274231460809418,-0.00470003505965985
170,81,0.00187145637042342,-0.0338727875751532,-0.036545958498304,0.000153334312314931,0.000102894069781389,-0.000764688811705316,-0.000856634876918112,-0.00134975442991958,0.00960948047672267,0.000726258449558737,-0.00329329953359393,-5.0771352256325E-05,-0.000102331825486308,0.000298541066795635,-2.72958538399065E-07,-9.89806608230537E-05,0.0203783165906058,-0.127971053012726,-0.154948046208385,-0.00043163577704317,-0.000799862420892315,-0.00233002801237945,-0.00262187858792523,-0.00339864143005748,0.0592477841801237,-0.188111119548257,-0.23113859215548,0.000201582988718626,-0.00111847092135412,-0.00186359678496852,-0.0025879823666898,-0.00449174107842108
180,85,0.0019818074245148,-0.0361453671733436,-0.0387714418524955,0.000153334312314931,-3.76228528116459E-05,-0.000764688811705316,-0.00104501551983545,-0.00139787295099308,0.00978485659199011,-0.00517117710519808,-0.00879095329802601,-5.0771352256325E-05,-0.000102331825486308,0.00019781534611502,-9.96159281021612E-05,3.56445246550336E-06,0.0215815425466237,-0.131529368648222,-0.162354760341123,-0.00043163577704317,-0.000899471309225047,-0.0026267104966019,-0.00283775786398458,-0.00419154800892364,0.0643271305686895,-0.181457744278375,-0.238971496186948,0.000121901583956886,-0.00111847092135412,-0.00197139765085803,-0.00336175245802576,-0.00493809887024946
190,82,0.00185541688799722,-0.0423496041038616,-0.0411311797419808,0.000153334312314931,-3.76228528116459E-05,-0.000764688811705316,-0.000935680023982935,-0.00138934154027664,0.0103936562308154,-0.00592007732661349,-0.0105101704294316,-5.0771352256325E-05,-0.000102331825486308,0.000148324006975949,-9.96159281021612E-05,-9.40303807256854E-05,0.0229022806025384,-0.133671217551285,-0.167013041942582,-0.00043163577704317,-0.000933625256721447,-0.00286783331218803,-0.00288247655732601,-0.00421137288108068,0.0698730999632009,-0.18183442287175,-0.247537083222939,0.000237992801924038,-0.00115756613568373,-0.00158329257916526,-0.00350440028873325,-0.0048330511909226
200,83,0.00185541688799722,-0.0423496041038616,-0.0411311797419808,0.000153334312314931,-3.76228528116459E-05,-0.000764688811705316,-0.000935680023982935,-0.00138934154027664,0.0112046395257795,-0.00431479506260333,-0.00972797934553071,-5.0771352256325E-05,-0.000102331825486308,0.000198853312207455,5.10142317558123E-05,7.51993932845794E-06,0.0236654159067305,-0.136729489751068,-0.173346351471898,-0.00043163577704317,-0.0008215341054209,-0.00290872329540624,-0.00295659001826807,-0.00433628166743179,0.0737303803088672,-0.183173531960782,-0.255402000371393,0.000354046400205266,-0.00103031155677353,-0.00176768726875991,-0.00370168867679477,-0.00517439640849994
210,84,0.00196227545355153,-0.0426364268455997,-0.0418767505143948,0.000153334312314931,-3.76228528116459E-05,-0.000711611979503228,-0.000935680023982935,-0.0013310129480673,0.0112046395257795,-0.00431479506260333,-0.00972797934553071,-5.0771352256325E-05,-0.000102331825486308,0.000198853312207455,5.10142317558123E-05,7.51993932845794E-06,0.0265756597771299,-0.144408894472073,-0.182303323017149,-0.000375079028172004,-0.000820495047262311,-0.00282554250673499,-0.0028752937653157,-0.00478377583819163,0.0769547497229234,-0.180273890560326,-0.261896496377651,0.000426629808329946,-0.00118701264480622,-0.00173928178865233,-0.00401179185453901,-0.00517565094182412
220,88,0.00223390311422828,-0.0424185464535463,-0.0417970819875375,0.000153334312314931,-3.76228528116459E-05,-0.000711611979503228,-0.000935680023982935,-0.0013310129480673,0.0112046395257795,-0.00431479506260333,-0.00972797934553071,-5.0771352256325E-05,-0.000102331825486308,0.000198853312207455,5.10142317558123E-05,7.51993932845794E-06,0.0281197531310562,-0.147466378634188,-0.190834603790321,-0.000375079028172004,-0.00083682760287715,-0.0029462937434261,-0.00303343661703522,-0.00527326847155676,0.0817962284726307,-0.182594431069613,-0.271192634903433,0.000381358365237618,-0.00127274407616652,-0.00159573485311649,-0.00404947708301703,-0.00530676403664786
230,88,0.00245328734547301,-0.0490283408183354,-0.0503344850333385,0.000153334312314931,-2.65546813296257E-05,-0.000603414205026917,-0.00115414641170951,-0.00146349297961767,0.0116648712309442,-0.00687952406955734,-0.0125596828748392,-5.0771352256325E-05,-0.000102331825486308,-4.86357439367023E-05,5.2042454171863E-05,5.84475275373603E-05,0.0302261925014843,-0.152278886571863,-0.196611716260113,-0.000321977205368544,-0.000873426633269412,-0.00321607302348736,-0.0030611026745264,-0.00541102583815363,0.0856397872489174,-0.183414382887326,-0.276114698015273,0.000381358365237618,-0.00124934030344145,-0.001367039713355,-0.00444409589288052,-0.00553488846671222
240,85,0.00240697613066442,-0.0509167318727272,-0.0511090064885493,0.000153334312314931,-2.65546813296257E-05,-0.000603414205026917,-0.00110066187367064,-0.00146349297961767,0.0123192828928172,-0.00596277657850153,-0.0117488507611504,-5.0771352256325E-05,-0.000102331825486308,-4.86357439367023E-05,0.00015328090198014,5.84475275373603E-05,0.0326642318522511,-0.155396509015566,-0.203962453979197,-0.000321977205368544,-0.000960053899389383,-0.00324630610643019,-0.00280317350616872,-0.0054395531288257,0.0891628670573319,-0.185448024280123,-0.283679471098023,0.000331761595472014,-0.00129511691786205,-0.00175763504807786,-0.00444168737037176,-0.00568267180851353
