GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,92,0.020082863442046,0.0131458903083064,-0.000683746171562377,0.00471821850658837,0,0,0,0.0220704166510938,-0.207260356256486,-0.00159839118431406,-0.00300747320011396,-0.00216869600935437,-0.00623904872728102,-0.00626774682023714,0.19859973294669,-0.161818709753484,0.0191195957559908,-0.015678957838812,-0.0276320871610174,-0.0548083530433445,-0.0393670545772088,0.0533754593196347,-0.33301584440391,-0.0116610580138545,-0.038929106897628,-0.0447652259304181,-0.0653614697786002,-0.0777325252699543
20,79,0.0131859997437524,-0.175953201218906,-0.0080438493173357,0.00270314516256927,0.00758206069221616,-0.0236699340525742,-0.0228975503447691,0.0220704166510938,-0.207260356256486,-0.00159839118431406,-0.00300747320011396,-0.00216869600935437,-0.00623904872728102,-0.00626774682023714,0.050028088685825,-0.0889935905677088,0.00822775625666667,-0.0318355238686358,-0.0738274186201943,-0.0709736421987759,-0.0657422680648992,0.27019155686757,-0.459156942474445,-0.036241032948904,-0.0613017592300931,-0.101816659289624,-0.128887987855238,-0.149658228966136
30,80,0.108804848779161,-0.00266522498069998,-0.010781667828231,-0.00750923428383127,0.0031592017198746,-0.0186663689502321,-0.0287684205549924,0.0857031406989057,0.0221818688047825,0.0027953785460667,-0.00378215145908343,-0.0172124009912215,-0.0170182730459729,-0.0146329717632319,0.0299776508114616,-0.384578900288133,0.0109583602667444,-0.0491359224379525,-0.112500402628974,-0.0961772041385245,-0.0876870133097516,0.1478657437533,-0.391247604940788,-0.0448952150324421,-0.117063794526974,-0.178996461818484,-0.137318039108945,-0.202617557232998
40,81,0.11867180025659,0.0200559380622754,-0.010781667828231,-0.00750923428383127,0.0031592017198746,-0.0186663689502321,-0.0287684205549924,0.122740216215247,0.159305852384305,0.0027953785460667,-0.00378215145908343,-0.0172124009912215,-0.0153740005459249,-0.0126204268752355,0.0901543942277211,-0.419322873980278,-0.00906762782842432,-0.0789140252658573,-0.177023625128162,-0.14661687660294,-0.16728710591281,0.113067787065226,-0.158930717056082,-0.0680739819325684,-0.116178742021796,-0.224282746444267,-0.18244577946879,-0.279102989713402
50,79,0.130013059933104,0.00706308250054829,-0.010781667828231,-0.00286955638540001,-0.0118568759340167,-0.0299168952464941,-0.0297692920210312,0.114856163374767,0.0103789691547231,0.0027953785460667,-0.00378215145908343,-0.00804980154072219,-0.0100580407002298,-0.0137752618929016,0.161506605354654,-0.35707869134729,-0.000425621699016592,-0.108774834207804,-0.223548004009459,-0.177156959038199,-0.232742354360332,0.120165406264811,-0.253423382828655,-0.0665323556692925,-0.146779418391195,-0.228646305236613,-0.225082138583503,-0.329482957528294
60,80,0.120886861446152,-0.0066753909602015,-0.015600539961191,-0.00286955638540001,-0.00759494537935452,-0.0253787634113905,-0.0355085480146219,0.112082416947316,0.0264782978195673,0.0027953785460667,-0.00378215145908343,-0.00804980154072219,-0.0117966051719792,-0.0137752618929016,0.311865636447669,0.0191149166885608,0.00554205185537454,-0.118098677164912,-0.260974049091544,-0.194807176277203,-0.264432973017928,0.123677815325067,-0.283736287333727,-0.093220447483057,-0.157568170857315,-0.239466604416139,-0.251734408904187,-0.378026363922616
70,77,0.0838176474704661,-0.0383778895966371,-0.015600539961191,-0.0132527678321369,-0.0125759581071766,-0.0265517622060387,-0.0355370441799561,0.131269793300375,0.09272351460565,0.00801103706277713,-0.00378215145908343,-0.00804980154072219,-0.0117966051719792,-0.0137752618929016,0.20229225231915,-0.0672732351262901,-0.00824179952492859,-0.118843532297543,-0.256410920656678,-0.194558538870925,-0.255107110067087,0.138357017223676,-0.35191242176904,-0.110324681907496,-0.200268231557351,-0.313907342868634,-0.333980793743219,-0.435707527882472
80,82,0.189226137160838,-0.046965658651548,-0.0272421959723179,-0.0521003411046385,-0.0387695825743464,-0.0398132262497725,-0.0652789752579681,0.131269793300375,0.09272351460565,0.00801103706277713,-0.00378215145908343,-0.00804980154072219,-0.0117966051719792,-0.0137752618929016,0.122412151412749,-0.394562097827794,-0.0214754555349284,-0.130949220806198,-0.264078176975137,-0.237192186138544,-0.286152761497413,0.14825085392498,-0.349351128194982,-0.0897734025142836,-0.24912297295205,-0.314465759995737,-0.402297313686901,-0.481179074882186
90,76,0.176147261925625,-0.106225919354392,-0.0322725106293463,-0.0566309394104415,-0.0389439407454412,-0.0443142697411488,-0.0846335723930002,0.163108854564801,0.0899837278473333,0.00801103706277713,-0.00378215145908343,-0.0172497282879635,0.00135541429167674,-0.0178360633118271,0.132435919822338,-0.436398331838214,-0.0242092900278598,-0.150849354221939,-0.300304886085757,-0.249309487704256,-0.274531530755522,0.0900983415665707,-0.302805017434354,-0.111575280031193,-0.275457063448425,-0.308431657380486,-0.442420006786048,-0.535951075120233
100,81,0.210491499491273,0.0394716851885533,-0.0291251454388561,-0.0562393434619759,-0.0357366369417024,-0.0443142697411488,-0.0797543086988389,0.163108854564801,0.0899837278473333,0.00801103706277713,-0.00378215145908343,-0.0172497282879635,0.00135541429167674,-0.0178360633118271,0.281095954101334,-0.426969325549288,-0.038444360513279,-0.143226148497362,-0.310910050783721,-0.30817619364495,-0.323339076294749,0.056758347636164,-0.364719574332739,-0.115191195394078,-0.240326695159973,-0.333364829928938,-0.457784934154583,-0.55391372786785
