GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NoHits5,NoOpen5,NoMisses5,NoHits3,NoOpen3,NoMisses3,NoHits2,NoOpen2,NoMisses2
10,64,0.00139088925154931,-0.00457513978462137,-0.00662882255510973,0,0,0,-0.000902689046880516,-0.0167452502910137,-0.0119931823666247,6.90502880983381E-05,-0.0418835380333214,-0.0131721548096391
20,82,0.0022304059757496,-0.00732116384585439,-0.00962400100843388,0.000657095798535915,-0.000729404553481535,-0.00148772057298584,0.000184300686883531,-0.0443597791665198,-0.0313500914312713,-0.00019804461546472,-0.067861129642128,-0.0248006591241974
30,59,0.00228261610526898,-0.010315594210573,-0.0136438266515966,0.00110675048651931,1.98422681258228E-05,-0.00138783635725926,0.000568531699273273,-0.0527031261107229,-0.036690097748616,0.00224269187014045,-0.0921285479602775,-0.0461366646404463
40,91,0.00229746022127983,-0.0126435911675615,-0.0167805349612298,0.0015093554817882,-0.000415351226040163,-0.00267451362008586,0.00102412188868917,-0.0652293854985749,-0.0441232269673311,0.00284659326986587,-0.111089792664608,-0.0627904393317373
50,89,0.00223503513148267,-0.0143243520948117,-0.0185499752991525,0.0018096351105622,3.49514219808904E-05,-0.00247447480828606,0.00197393008268545,-0.0655783177402871,-0.0499986549680789,0.00567106324056844,-0.130889617466433,-0.0842794252696136
60,95,0.00203818108201847,-0.0203840970231476,-0.0263845643645402,0.00245711601519818,0.00128114620410504,-0.00232504071655022,0.00348616047912471,-0.0850516771303326,-0.0619421967897667,0.00805612627386651,-0.13851656901578,-0.0940433001575413
70,98,0.00241050709371686,-0.0303297482431586,-0.0368204387830798,0.00310133638494839,0.00197108191761571,-0.00207763800196088,0.00431969910839419,-0.0913585350081098,-0.0675221359210289,0.0104801291178852,-0.154033179155511,-0.109331435820551
80,85,0.00230092273276681,-0.0335959674397872,-0.0401196769528947,0.00413983726374956,0.00309840873399301,-0.00118534539545195,0.00531267197088981,-0.0993953007746394,-0.0802985851040059,0.0138085177800471,-0.162867465330479,-0.119669551625462
90,81,0.00234291213050308,-0.0339284448494096,-0.0409124875591771,0.00477672983018262,0.00426366502417617,-0.000548447060948604,0.00765795684792872,-0.107625907121439,-0.090931845484605,0.0161555202544637,-0.16822073655592,-0.13002116785434
100,95,0.00234291213050308,-0.0339284448494096,-0.0409124875591771,0.004864333748367,0.00468531682080684,-0.000550943141823376,0.00782587115347938,-0.113828572119879,-0.097651404265364,0.0230517172034418,-0.167397003759077,-0.150164506192463
110,83,0.00234806722160027,-0.0353286624172195,-0.0435563945803368,0.0050478576610633,0.00283199697846883,-0.000815703759443532,0.00792853258702837,-0.121892288003536,-0.105754751300178,0.0286342352322102,-0.166979437732683,-0.159016739312361
120,82,0.00208173157103914,-0.0398317743330208,-0.0473835288774044,0.00558963821061054,0.00155058456626791,-0.000331001418308431,0.00777534616538087,-0.12573354974847,-0.111507521536173,0.0333176316230622,-0.171915690358911,-0.17223271159609
130,98,0.00203751252860871,-0.0408069516288204,-0.0495366196433411,0.00558963821061054,0.00155058456626791,-0.000331001418308431,0.00896966693317915,-0.132828316552665,-0.119200693293208,0.0380005699032608,-0.17779189502237,-0.183547137235558
140,75,0.00203751252860871,-0.0408069516288204,-0.0495366196433411,0.00662144903761125,0.00137967419389341,0.000448703187297118,0.0118413348815673,-0.139574162766928,-0.12980671150429,0.0419190995612583,-0.182196309698944,-0.192315236630462
150,80,0.00212422197220102,-0.0405532332152098,-0.0506950994794159,0.00665369214839576,-0.000609076442424446,-0.00100436720169162,0.0139691849657516,-0.144286389326084,-0.137967255055715,0.0448606929505331,-0.182021349704314,-0.201168239729787
160,97,0.00215153705680786,-0.0444926926194433,-0.0567389471109039,0.0068516184437274,-0.000213382175116696,-0.000954984546547497,0.0151062696684146,-0.14763761978428,-0.14686158985082,0.0496330691612666,-0.177251149813312,-0.209431999052864
170,99,0.00245329830981184,-0.0444531421992876,-0.0581736572991471,0.00700035574558032,-1.51103905901756E-05,-0.000806340185039665,0.0167471326765547,-0.153091239805158,-0.154147900959437,0.053519875105144,-0.177504025500587,-0.223294594139999
180,81,0.00290074045240337,-0.0438067831031325,-0.0583982434753145,0.00827066266857784,-0.00177096708700696,-0.00226159513065168,0.0177587805609778,-0.160794431037044,-0.163501966003142,0.0593808439316123,-0.172513694526944,-0.232331159097647
190,93,0.00327527270481765,-0.0515157168505564,-0.0648697509359989,0.00846605749073421,-0.00177071210275508,-0.00265916839233476,0.020927377896624,-0.159657201803335,-0.167035124473633,0.0611559468875804,-0.17734321836387,-0.241060076848999
200,41,0.00365592520484171,-0.0537644282318965,-0.0663095157414585,0.00901234931835523,-0.00260449529288741,-0.00379881338104841,0.0221001182762806,-0.159989191423863,-0.173266315317306,0.0656959098378703,-0.174626395943006,-0.251267219120069
210,53,0.00406713629212887,-0.0527994420661007,-0.0679354170397264,0.00951000966977297,-0.00479579389437745,-0.00645988147632849,0.0236142723481506,-0.158713794431032,-0.179562801016846,0.0685906647579321,-0.178508878844688,-0.26085760303169
220,94,0.00531478499410639,-0.0534181207976432,-0.070092279910162,0.0104091142811683,-0.00436768244228243,-0.0059967085106341,0.0248069999574443,-0.158413817718359,-0.181950484242052,0.0733568513831535,-0.183808492620103,-0.271898036740378
230,87,0.00502080637590587,-0.0568956578293766,-0.0728569373207636,0.0121405081797543,-0.00242182294966249,-0.00473211248290677,0.0258796299299799,-0.15808570354715,-0.18850682428517,0.077082594525683,-0.18949296704627,-0.281308825089271
240,90,0.00549163908609909,-0.0608463384198563,-0.0785287616811517,0.0123373252146336,-0.00227426920328556,-0.00463376544575065,0.0287606646904069,-0.157393358526288,-0.191921537250815,0.082148299025186,-0.192772699702768,-0.289997027035997
