GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,83,-0.0433648019691524,-0.282892159434515,-0.00906120474777016,-0.00918705230403969,-0.0166633186886933,-0.005708051349971,-0.00578276077732248,0,0,0,0,0,0,0,0.080873323896144,-0.426188774905525,-0.00479976247907175,-0.0205963569028815,-0.051077917520334,-0.0204865467503995,-0.0247157892765022,0.0330589546479626,-0.399470793892176,-0.036508373889947,-0.0243725135407495,-0.0375427462279626,-0.075068053427644,-0.0656291030462859
20,76,-0.0433648019691524,-0.282892159434515,-0.00906120474777016,-0.00918705230403969,-0.0166633186886933,-0.005708051349971,-0.00578276077732248,0.0397391254539959,-0.0511990807109616,-0.00935909129489646,-0.00466036818176176,-0.00936225563586535,-0.00935697483782036,0,0.198642847366417,-0.360560626309118,0.00345567423073888,-0.00695094284826013,-0.0599244121011279,-0.0328703487010331,-0.0410830225528758,0.118675555004964,-0.584627380875961,-0.0511341702021193,-0.0465494744625383,-0.103734410152182,-0.158095306734538,-0.0854724076823849
30,79,-0.0433648019691524,-0.282892159434515,-0.00906120474777016,-0.00918705230403969,-0.0166633186886933,-0.005708051349971,-0.00578276077732248,0.104698127240371,-0.216820581096626,-0.00516446712235325,-0.0117645627984059,-0.0246998707235375,-0.0242116733619183,-0.00375781984349175,0.260379013010435,-0.532741480524336,-0.024603279221623,-0.0156929746952993,-0.0803829435918073,-0.0537431837318865,-0.0680047487890077,0.113855582978339,-0.577214919519408,-0.0674786620274355,-0.0858872866033292,-0.153186434054654,-0.261207289075399,-0.115892428219934
40,70,-0.0202627352691475,-0.400861154372426,-0.012469334122245,-0.0157730551691676,-0.0244539412563634,-0.0142074464440704,-0.00724008981373089,0.104698127240371,-0.216820581096626,-0.00516446712235325,-0.0117645627984059,-0.0246998707235375,-0.0242116733619183,-0.00375781984349175,0.351747418476469,-0.455999923355538,-0.0342071826998617,-0.0501764304398055,-0.0641182125091136,-0.0419465071856738,-0.071833363996758,0.144309736490522,-0.5981327587212,-0.0545622214931991,-0.100680770925518,-0.152380806888267,-0.339756204205027,-0.164878657292519
50,77,0.0853096211998468,-0.474479595050634,-0.0103453619607809,-0.0249489162957859,-0.0226040188602139,-0.0242426982665603,-0.00861535742134906,0.104698127240371,-0.216820581096626,-0.00516446712235325,-0.0117645627984059,-0.0246998707235375,-0.0242116733619183,-0.00375781984349175,0.239520265358109,-0.409246087490514,-0.043538604637481,-0.0489547332877334,-0.10042314786603,-0.0666372694271645,-0.0861160031883491,0.124311485393472,-0.69601989982025,-0.07763275404891,-0.10617892697298,-0.197509660497232,-0.373308335254964,-0.18585778726184
60,77,0.120388790957241,-0.493441004590821,-0.0181537170491174,-0.0261248231685149,-0.0222938843838237,-0.0378529561742713,-0.032076007183807,0.153198623734735,-0.234161360268678,0.00885826825821448,-0.00500580948467456,-0.0186920473360685,-0.0287546012389563,-0.00631838746483328,0.285494585576287,-0.56859098538385,-0.0592251749822451,-0.0850632924803712,-0.124222084525464,-0.103269530845515,-0.106447821477329,0.197541446164455,-0.415490985742,-0.0592864018107502,-0.156967061352533,-0.206552743887839,-0.409617410830123,-0.246698409028452
70,78,0.178031146363429,-0.454654110435359,-0.0181537170491174,-0.0171537155505255,-0.0221785993213556,-0.0436873308398238,-0.0483633961706648,0.20331630923832,-0.234406039191249,0.00768641646026977,-0.00500580948467456,-0.0186920473360685,-0.030908902789966,-0.00631838746483328,0.30709893774607,-0.609413686731104,-0.0508421076819569,-0.0744273490556134,-0.138188574924893,-0.187100217716764,-0.12974536123757,0.317672651515901,-0.553654768515529,-0.0765259254060821,-0.158267571704827,-0.22085483603471,-0.404587365498654,-0.302885860536641
80,75,0.177933554445048,-0.460071209301508,-0.0181537170491174,-0.0171537155505255,-0.017482988164289,-0.0436873308398238,-0.0483633961706648,0.225010498046355,-0.303640442677313,0.00768641646026977,0.00111215752926714,-0.0227042285561656,-0.0382723224506996,-0.00585378639357714,0.333085535972314,-0.446012209599026,-0.0589581975714971,-0.076321286489431,-0.160732873602256,-0.216732882919593,-0.12915168477242,0.132579210782883,-0.515281765842601,-0.098744102483666,-0.160934755701404,-0.292798679193199,-0.416880912650045,-0.345169148441386
90,76,0.244421752915079,-0.381628382220181,-0.019400919675144,-0.0196496661120365,-0.00975822863354328,-0.0520310828332803,-0.0450481115331429,0.245880312972186,-0.338505261958643,0.00768641646026977,-0.00728326099477381,-0.0261300940199023,-0.0414374577937654,-0.00753481404510785,0.353212861730886,-0.499069025684778,-0.0562580650569665,-0.0891612810817154,-0.170901232207888,-0.221590643900886,-0.139264882069892,0.239863515986913,-0.49202867780829,-0.114548534426692,-0.144396925243881,-0.345350157181343,-0.426654452008882,-0.411093004414427
100,81,0.291969964671075,-0.334284754911116,-0.019400919675144,-0.0196496661120365,-0.00975822863354328,-0.0520310828332803,-0.0336527810441955,0.247989192971237,-0.388846772741452,0.00227713880816269,-0.00163110580879457,-0.0295912471995461,-0.0532761394753216,-0.00533345669904517,0.325637878491485,-0.556462962078493,-0.0710664271282162,-0.0815061406653072,-0.192839893728736,-0.222351532901415,-0.162267864568944,0.258273682088989,-0.512960425396195,-0.105351188107001,-0.147542013990354,-0.385069712767528,-0.439325720742209,-0.466875911577438
