GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,84,0.128922307295919,-0.0427287526409689,0.00112175737437036,0.00907382101947839,-0.0115264579588638,-0.0224013177045498,-0.0223586868438054,0.0118459634692153,-0.141662781387833,-0.00480010659844418,-0.00364008379745472,0,-0.00739384327838885,0,0.0903061644484078,-0.199427538769473,-0.0280777804622127,-0.0405851722052558,-0.00753609582316791,-0.0277162198153558,-0.0146458189835596,0.0378354102062383,-0.370977870370499,-0.0252854842195121,-0.0651831152614942,-0.0367840134690547,-0.0746637153085308,-0.111866446506242
20,77,0.128922307295919,-0.0427287526409689,0.00112175737437036,0.00907382101947839,-0.0115264579588638,-0.0224013177045498,-0.0223586868438054,0.0118459634692153,-0.141662781387833,-0.00480010659844418,-0.00364008379745472,0,-0.00739384327838885,0,0.0414136624563975,-0.204026032312556,-0.0488928963021559,-0.0457101731710596,-0.0222915938274731,-0.0500036244771346,-0.0500797323608981,0.266405392248197,-0.243114685514848,-0.0199393095208862,-0.0510427325247336,-0.0427978852743446,-0.143771704482514,-0.162762652395765
30,81,0.128922307295919,-0.0427287526409689,0.00112175737437036,0.00907382101947839,-0.0115264579588638,-0.0224013177045498,-0.0223586868438054,0.0732159537227144,-0.176870899872271,-0.0134555569044441,0.00239058397018839,-0.00815396501905185,-0.0041088012000985,-0.0173741495173441,0.0941371834892196,-0.272679214876461,-0.0507696534311465,-0.0531021636799143,-0.0657937715546419,-0.0943161042342085,-0.0978247558223681,0.0340971370899402,-0.471319883571365,-0.0283979293494885,-0.0934495005835789,-0.0880450313004152,-0.182448689011757,-0.268698981599284
40,84,0.158328732072222,0.02389145158466,0.00112175737437036,0.00907382101947839,-0.0115264579588638,-0.0224013177045498,-0.0223586868438054,0.187124710455535,-0.0357379649834373,-0.00506926627694467,0.00747012998182804,-0.0129265775235582,0.00135011116466562,-0.00227539977888051,0.119624548772969,-0.201786336113693,-0.0529557955883472,-0.0459931146621993,-0.145113647047749,-0.17845817776833,-0.168936420055615,0.107068036070682,-0.517259301976399,-0.043353044563229,-0.0968881967434745,-0.130095223444746,-0.227438605980414,-0.288447949304716
50,83,0.165463765683461,0.0378817693566402,-0.00312863587128156,0.00983591342901951,-0.00167880149488351,-0.0224013177045498,-0.0223586868438054,0.222113513015433,0.0796520944312525,-0.00583429980708045,0.00959327967799106,-0.0100380498690903,0.0115067029996555,0.00659952611137006,0.260459336424595,-0.394273646829272,-0.0903601044571884,-0.0792882120968244,-0.165997673854163,-0.238330764264681,-0.197100106464787,0.0752031899533121,-0.539474099862646,-0.0525787044540874,-0.132185038153967,-0.188727223016968,-0.278264455522858,-0.357668653290824
60,84,0.104576819387466,-0.023368229840052,-0.00894926622324317,-0.00140636062070851,-0.00167880149488351,-0.0188451278638443,-0.0178518255846097,0.167195831926993,-0.171026392649468,-0.00254659058674769,-0.0205043699645582,-0.0179086023014051,-0.026765253369894,-0.0231034103142884,0.207195910951939,-0.302861397245131,-0.0930571809385237,-0.118841679491953,-0.19414542708909,-0.281270292176988,-0.217667495661819,0.190980811928596,-0.300874053874302,-0.0405923520022887,-0.157229302024312,-0.198308202928066,-0.334196755787426,-0.428728902526691
70,78,0.0955579788916779,-0.0332675673750425,-0.00894926622324317,-0.00140636062070851,-0.00167880149488351,-0.0140193536310569,-0.0141846552796059,0.167195831926993,-0.171026392649468,-0.00254659058674769,-0.0205043699645582,-0.0179086023014051,-0.026765253369894,-0.0231034103142884,0.196336658956074,-0.333529952933454,-0.0975534161874839,-0.141916952907311,-0.207080579127927,-0.32776842558801,-0.227714731785543,0.113035719948133,-0.293452666469675,-0.0777441013010774,-0.178684224794729,-0.190211812108793,-0.356416223377387,-0.501023929140961
80,72,0.0977323006376139,-0.109266933089226,-0.00274312534203066,-0.00549557214401595,-0.00561023962810945,-0.02458986380221,-0.0177990515807853,0.209689924547052,-0.235203494378126,-0.00905109095653313,-0.0236153797905167,-0.0344942872298936,-0.0439450978916148,-0.0280774119985928,0.229335151047265,-0.298781707884176,-0.125340584138676,-0.142878656082919,-0.199894586079985,-0.327285421111644,-0.242946386665031,0.1367083334154,-0.406754498153886,-0.0821055180084569,-0.184558086069433,-0.24727083179783,-0.40785982587565,-0.556983217751826
90,83,0.118979141027286,-0.109266933089226,0.00138053151474179,-0.00549557214401595,-0.00561023962810945,-0.02458986380221,-0.0229857984778757,0.266045595080736,-0.0792406691604433,-0.0106605435797615,-0.0273933266712953,-0.0533444944974254,-0.0668028193949279,-0.049397054706873,0.25777436745171,-0.183066358097109,-0.138224644308416,-0.17180640303212,-0.230240602329383,-0.347589192368091,-0.254530722347829,0.1059479991482,-0.348030206835669,-0.0710372477230318,-0.196033286210244,-0.297600722484582,-0.449880267325593,-0.610526345982455
100,76,0.161183738059025,-0.0813805014899073,-0.00669526236162106,-0.0285740501510496,-0.0243785243087327,-0.0338205008923914,-0.0551316036677165,0.339480640867897,0.00917807702812384,-0.0158680770099206,-0.0540971873337461,-0.0649192699022447,-0.0692709334383607,-0.1077190997675,0.139154255015099,-0.044176439203335,-0.1318540464858,-0.187258059775121,-0.217260026464461,-0.342866169000083,-0.245132681265886,0.16495331374628,-0.410119946668263,-0.0810937501726057,-0.209852481218574,-0.318428530197895,-0.505247572244745,-0.634318897055899
