GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,89,0.000325817622146414,-0.0105160946734955,2.98092265180922E-06,-0.000292876048509733,-0.000295030708949397,-0.000396061712658532,-0.000387317736662415,0.000998194503515062,0.000495109966980112,0,-4.98401285447122E-05,0,0.000149795353568374,4.96618941967018E-05,0.000344855136339625,-0.0111612847001615,-0.000246655073461287,-9.35732880730032E-05,-0.000245099454278595,-0.000841402424687537,-0.00058940677817657,-0.00049724266790923,-0.0214863346299646,-0.000392439252727521,-0.000983394912939953,-0.000877641770217456,-0.00141324965449175,-0.00162222952034218
20,83,-0.000330675838249465,-0.0155111415288621,-9.25145638498512E-05,-0.00043943649149817,-0.00073568811569565,-0.000737835052040255,-0.000628653494975933,0.00130027443483075,-8.03824214847935E-05,1.17925858139646E-07,-4.96194893919782E-05,-4.96008647498566E-05,0.000150452436347745,-5.03716823847028E-05,0.00208398820333676,-0.0114666122854901,-0.000140330947391428,-0.000192987466247025,-0.000488229547469931,-0.000937568023368914,-0.000636986305484099,-0.000716213761458561,-0.0426876987308116,-0.000854485234747729,-0.00123081639205302,-0.00263412155020764,-0.00242673843205277,-0.00276721304995315
30,86,-0.000631625369764704,-0.0333217770804934,-0.000453292321819169,-0.00124826336511648,-0.00129640171164624,-0.000947291953995873,-0.0012534948723571,0.00170002685283782,0.000129565534862381,1.17925858139646E-07,-4.93086699789579E-05,-9.9493400312044E-05,5.09578247816397E-05,-5.03716823847028E-05,0.00328431326861829,-0.017384769642242,-0.000119660198010294,-0.000961714535149998,-0.000919781218934493,-0.00135537894474211,-0.00146719800366668,-0.0018266033180916,-0.0505549752088582,-0.00133081722291498,-0.00200234323268914,-0.00290089529616382,-0.00319457543219026,-0.00324795087075165
