GAMES,ROUNDS,HitSpacesInRow4,AdjMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoDiagHitsWithAdjHit4,HitSpacesInRow5,AdjMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoDiagHitsWithAdjHit5,HitSpacesInRow3,AdjMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoDiagHitsWithAdjHit3,HitSpacesInRow2,AdjMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52,NoDiagHitsWithAdjHit2
110,61,0.172800190014196,-0.402492469809609,-0.0147367600722473,-0.025298202063462,0.0222996254989874,-0.0721779353469625,-0.0841968015473865,0.215964366028904,0.161233074601557,-0.385081082400766,-0.00529082757055126,-0.0125980114616469,-0.0277953757633086,-0.0194198133824238,-0.0310654035565455,0.0433509151047894,0.0637849373727259,-0.560879251575855,-0.0500261022446005,-0.0620156422093775,-0.219055480827807,-0.267192084227714,-0.164645380269443,0.497136227173836,-0.201404229310635,-0.547313433455673,-0.11350913247737,-0.146684588900449,-0.216622253221343,-0.309871305109614,-0.277967695947047,1.04025853982474
120,62,0.170062687890366,-0.445968956674128,-0.0146313334105468,-0.0256054098291995,0.0150541287223273,-0.0885223545200904,-0.0733641986705984,0.235002178015245,0.213931225649362,-0.334190759811575,-0.00529082757055126,-0.00652292145760802,-0.0311657055851837,-0.0194198133824238,-0.0425496444729284,0.0628433585468139,0.0168511080828356,-0.500168786098572,-0.0350141922368775,-0.0670543053172561,-0.247714264870816,-0.28901426446812,-0.157693017627853,0.552428887461165,-0.188574031734749,-0.590490596832368,-0.129772167811496,-0.129251642854114,-0.230334268791534,-0.310948547101792,-0.298604729073863,1.0883498773536
130,57,0.211269189489057,-0.393605558211895,-0.0141551108004525,-0.0242254265861172,0.00506559841856564,-0.084944274814231,-0.0697426010349189,0.282032021412256,0.256862689544118,-0.37033067431852,-0.00316387488499872,-0.0176108395537362,-0.0341299914896072,-0.0354465864592056,-0.0353092468238624,0.0913000828246334,0.0756518395097511,-0.485983010662235,-0.0587774989989696,-0.0745433034840031,-0.258256972434737,-0.30802413773015,-0.20631595684695,0.620854446256353,-0.239936148429933,-0.562493297059015,-0.129985646452108,-0.143367523930418,-0.211431437455642,-0.311105484936758,-0.320254985563617,1.12130487872758
140,61,0.208210239663812,-0.391333562740345,-0.0141551108004525,-0.0296315154305657,-7.91373985561126E-05,-0.0757317818821308,-0.0697426010349189,0.284277638882021,0.282207355657769,-0.393934134146037,0.0212422961348569,-0.0300007650604408,-0.0290761150683215,-0.0392018991155876,-0.0465570461471193,0.128094143345168,0.0547595272814705,-0.58356691363972,-0.0676058274995442,-0.108963780451192,-0.287659513898634,-0.316770888307658,-0.209131917452936,0.702550946773135,-0.157036204520356,-0.529266464288008,-0.134339842397973,-0.165754603717178,-0.237492499646793,-0.304714011675932,-0.324902166854441,1.1510943028736
150,64,0.197912014807427,-0.400506799817512,-0.0079698856704781,-0.0296315154305657,-0.00892002479218682,-0.0837193166694986,-0.0640544457883537,0.289131522631864,0.213522829976337,-0.466608368312136,0.0270929907345227,-0.0326890917610743,-0.0329549684898191,-0.0683466010077119,-0.0566091765896877,0.127988784775382,0.110089861071758,-0.585213167881598,-0.0700181032555621,-0.126448563817677,-0.285905263184653,-0.339741745988849,-0.24779986182464,0.730632183229302,-0.1848353109881,-0.635300792755476,-0.15908642100844,-0.190557287830569,-0.246146327748161,-0.318601839696436,-0.340438741011582,1.17211811939536
160,60,0.168814915107047,-0.4280541276396,-0.0203055457122038,-0.0269627035035567,-0.0166858236273673,-0.0768160140189296,-0.0698599185573067,0.298743047329465,0.256547554201339,-0.461378469634532,0.0270929907345227,-0.0376073763081446,-0.0371684867754416,-0.0680646643785645,-0.0551384363832067,0.144002364277154,0.193895415102715,-0.448352006887539,-0.0625217567374331,-0.119789072213803,-0.273025156020875,-0.3184811452461,-0.266624148762606,0.763253742873145,-0.221600065706044,-0.597736920707296,-0.154685539634992,-0.230719446822673,-0.271186248039597,-0.326977876462917,-0.351158014716963,1.20130920756187
170,60,0.189968831165462,-0.406262592608798,-0.0235346867589589,-0.0269627035035567,-0.0199586604430468,-0.0768160140189296,-0.0763488113840682,0.308682489247948,0.271394320594683,-0.457804296447807,0.0270929907345227,-0.0340414077414416,-0.0371684867754416,-0.0680646643785645,-0.0551384363832067,0.144002364277154,0.011791238968228,-0.485924838850539,-0.0808889475747418,-0.131443001801164,-0.291056545142385,-0.340287758592676,-0.277747150148061,0.792675994137099,-0.263287919463751,-0.662307551846304,-0.15715586174349,-0.258972463616133,-0.278623663704209,-0.356069811406935,-0.388392976431439,1.1984020120931
180,59,0.206926923850651,-0.395208012995234,-0.0235346867589589,-0.0269627035035567,-0.0144860903862976,-0.0768160140189296,-0.0763488113840682,0.308682489247948,0.271394320594683,-0.457804296447807,0.0270929907345227,-0.0340414077414416,-0.0371684867754416,-0.0680646643785645,-0.0551384363832067,0.144002364277154,-0.0118060523446921,-0.406304752607159,-0.082981110474075,-0.121081412999111,-0.270987880585281,-0.349813663881612,-0.272154927791683,0.81797232473219,-0.240682143654204,-0.638814494114686,-0.155595197695158,-0.251111454237356,-0.309020505518583,-0.412676884860271,-0.417911409878825,1.27373810737287
190,52,0.169360658718699,-0.420083381045832,-0.0289040315160416,-0.0269627035035567,-0.0198912968451149,-0.0926736837558889,-0.0811580320199237,0.301624049328374,0.271394320594683,-0.457804296447807,0.0270929907345227,-0.0340414077414416,-0.0371684867754416,-0.0680646643785645,-0.0551384363832067,0.144002364277154,-0.00517308871176121,-0.454790890230511,-0.0925315209516964,-0.122472290140359,-0.254658018173295,-0.35297011878475,-0.278974676949522,0.825170199126877,-0.106913809862244,-0.582278976926639,-0.146416394413085,-0.257650344518869,-0.308236398843533,-0.389826953709225,-0.411753479917805,1.31353871311528
200,59,0.20319637807164,-0.432043566444585,-0.0266524633133487,-0.0302227365002233,-0.0450984288151459,-0.0787865139674951,-0.0959098908774437,0.321904342824712,0.27514293938314,-0.404085460885305,0.0306822249199677,-0.0335873850758818,-0.0449083449940865,-0.102532665233225,-0.0611722945657382,0.163247525100634,-0.00197679301060229,-0.472672398443757,-0.105405854313091,-0.135868141552022,-0.284216968358025,-0.364333909496713,-0.297933330153102,0.874655955095445,-0.261288345313378,-0.552341470648692,-0.144426425612349,-0.240622272039961,-0.317075698032266,-0.401693946517703,-0.386310658563442,1.29725185025579
