GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
110,81,0.00203805484294444,-0.0191475753399978,-0.000481096133640275,-0.000673009659688633,-0.000709023472062782,-0.00101010256950507,-0.0009577464748469,0.00442242495313615,-0.0178237210612215,-0.000179875927534518,-0.000918836958749667,-0.00101074820925224,-0.000920106318323464,-0.00136056843145055,0.00549223763829443,-0.0811607060382665,-0.00289431770789088,-0.0043269374284805,-0.00575080702351348,-0.00615554726571272,-0.00555717809603698,-0.000105332926075039,-0.155345412625898,-0.00393729936823447,-0.00721774460350049,-0.0100306677174088,-0.0108310149474693,-0.0107644749210548
120,81,0.00222847015831992,-0.0202079223118368,-0.000574225485445606,-0.000865289837905102,-0.000756976800462221,-0.00115500970561391,-0.000950100546460958,0.00452273448985401,-0.0211952114847224,-0.000225587061623652,-0.000918836958749667,-0.00107768066845846,-0.0011610698341349,-0.00140366600798547,0.00578190360786158,-0.0825498540052033,-0.00279703260977829,-0.00456822054664967,-0.00600325273266131,-0.0063204905811097,-0.00601503129344361,0.00128643009290196,-0.164797163414182,-0.00420854878204401,-0.00789522319492007,-0.0106909364108281,-0.0116165281372884,-0.0116971440200444
130,79,0.00245961767343998,-0.0229827992822256,-0.000560936815839823,-0.000814346668196688,-0.00084939245016974,-0.00144854817059385,-0.00128776146313006,0.00428667954422714,-0.0221644658811122,-0.000225587061623652,-0.00096770048390306,-0.00117611710005321,-0.00125960902700174,-0.00145251253618935,0.00569883360692785,-0.0881255194040363,-0.00295983774905053,-0.00481058534087093,-0.00648189256571537,-0.006763109664305,-0.00639372165549112,0.00162801448547487,-0.173091562736291,-0.0046686072842317,-0.00912523466610304,-0.0116314480514154,-0.0128241282730635,-0.0124563795254534
140,85,0.00257580786359203,-0.0302052519840856,-0.00083758706218944,-0.0010856365884945,-0.00122604558750132,-0.00152423566727003,-0.00152018587005273,0.00428667954422714,-0.0221644658811122,-0.000225587061623652,-0.00096770048390306,-0.00117611710005321,-0.00125960902700174,-0.00145251253618935,0.006291319734415,-0.0968416715538539,-0.00324481860794205,-0.0052679034535568,-0.00676897364776695,-0.00752939600621307,-0.00743162749585263,0.000981724406055397,-0.179202896267818,-0.0050242200599192,-0.00934704590817052,-0.0122849514035361,-0.0135822690150303,-0.0134129575630803
150,86,0.0021746517709298,-0.0355037114554894,-0.00093275157155397,-0.00141963945306667,-0.0016959752058276,-0.00180672206452083,-0.00180331567112895,0.0050509481721595,-0.0213337456318114,-0.000273453088252357,-0.00101542317074292,-0.00122381554042538,-0.00145019703386318,-0.001398280633515,0.00648400971986437,-0.0997508327126984,-0.00357631648311739,-0.00557834839849461,-0.00688726699301155,-0.00849260104178432,-0.00807095327144233,0.000655754844039079,-0.189670060111816,-0.00570928253861745,-0.0105809857459126,-0.0132673207934256,-0.0142929330839485,-0.0145551173835052
160,84,0.00210344530010792,-0.0368992119349014,-0.000979197571193572,-0.00141963945306667,-0.00177791147304222,-0.0019454524433248,-0.00184959717285703,0.0052539821674764,-0.0222349784060268,-0.000363080035120862,-0.00110225804679283,-0.00131495506415285,-0.0015466605875335,-0.00163896214897459,0.00693475934654731,-0.104054024703822,-0.00384397388446803,-0.00577500077491856,-0.00726072390230078,-0.00911923025502306,-0.0090036106440851,0.000399853027535297,-0.197992685331159,-0.00626684632572107,-0.0113484633421477,-0.0138654670454465,-0.0150948418221028,-0.0157343868524487
170,85,0.00241378865625595,-0.0389333501718009,-0.0010715145116324,-0.00155819009521214,-0.00187017960813346,-0.0019454524433248,-0.00208000229417223,0.00566834850931538,-0.021766755442102,-0.000411212281315625,-0.00110225804679283,-0.00140419950469358,-0.00154024306388154,-0.0016798928732539,0.00865383544038755,-0.109987767399169,-0.00395986693563865,-0.00614425716618549,-0.00824886719787197,-0.0097303241788703,-0.00955972674342621,-0.000167943861571261,-0.20591785729499,-0.00641315024031127,-0.0118718804270365,-0.0147635175308042,-0.0158026203516331,-0.0164654916207259
180,84,0.00222813708937089,-0.0460144037613836,-0.00133473057229326,-0.00183464101622126,-0.00238415546268921,-0.00203762705169579,-0.00225793638824717,0.00647057180017841,-0.0214718080033851,-0.000407115085137015,-0.00119812751319588,-0.00130070507632237,-0.0015880163857555,-0.00162828290472457,0.0112196395607081,-0.115256475064757,-0.00436235063819159,-0.0064524276972889,-0.00927590619418066,-0.0104032360304411,-0.0102896211448149,0.00136221505106222,-0.21029223935836,-0.00658224253310844,-0.0122319011014247,-0.0154120206744851,-0.0165613353538738,-0.0167993569773786
190,80,0.00188954787118646,-0.0484006188081234,-0.0016156640567492,-0.00216110018158624,-0.00275541688216107,-0.00212491118836927,-0.00235310882679718,0.00682197596127031,-0.0213706411647544,-0.000356891761825419,-0.00114771884687221,-0.00130070507632237,-0.0015880163857555,-0.00167802271526131,0.0119630140852811,-0.118471668016774,-0.00454612462431007,-0.00677656003198808,-0.00957943104731471,-0.0115512863241884,-0.0105652404194701,0.00198239764197376,-0.214786588449969,-0.00714648694547726,-0.0130016582324429,-0.0160548012027892,-0.0169985508924783,-0.0169697417186071
200,87,0.00241303626482,-0.0503835862019294,-0.00175073814050014,-0.00213155468790058,-0.00298004476563581,-0.00230472162521683,-0.00244294268576687,0.00698910645713239,-0.0218969573600474,-0.000356891761825419,-0.00114771884687221,-0.00134849860693575,-0.00163578367086445,-0.00182146426804957,0.012278466107021,-0.123757139098257,-0.00472841009278036,-0.00723616351339468,-0.00983499021396247,-0.0119738954055862,-0.0108802580707569,0.00319387965394591,-0.225098184927774,-0.00776160744617263,-0.0130726156309432,-0.0174369287069152,-0.0178906027566131,-0.0184022092743724
